date	ouv	haut	bas	clot	vol	devise	
12/06/2023 00:00	17.4	17.615	17.22	17.47	1213017	EUR	
13/06/2023 00:00	17.6	17.81	17.51	17.52	948444	EUR	
14/06/2023 00:00	17.61	18.035	17.61	17.79	1616466	EUR	
15/06/2023 00:00	17.755	17.85	17.455	17.565	924752	EUR	
16/06/2023 00:00	17.67	18.035	17.525	17.95	1696767	EUR	
19/06/2023 00:00	17.925	17.965	17.625	17.765	652722	EUR	
20/06/2023 00:00	17.735	17.85	17.58	17.615	685705	EUR	
21/06/2023 00:00	17.66	17.885	17.61	17.7	551682	EUR	
22/06/2023 00:00	17.6	17.845	17.525	17.845	549189	EUR	
23/06/2023 00:00	17.65	17.715	16.66	16.845	1578695	EUR	
26/06/2023 00:00	16.92	16.975	16.48	16.795	901926	EUR	
27/06/2023 00:00	16.895	17.04	16.48	17.04	1226938	EUR	
28/06/2023 00:00	17.37	17.585	17.245	17.45	1328869	EUR	
29/06/2023 00:00	17.4	17.63	17.32	17.555	717273	EUR	
30/06/2023 00:00	17.53	17.59	17.23	17.23	721422	EUR	
03/07/2023 00:00	17.55	17.6	17.28	17.385	684943	EUR	
04/07/2023 00:00	17.455	17.455	17.13	17.22	598790	EUR	
05/07/2023 00:00	17.1	17.29	16.955	17.29	618074	EUR	
06/07/2023 00:00	17.17	17.17	16.565	16.7	1370923	EUR	
07/07/2023 00:00	16.74	17.185	16.635	16.95	1040691	EUR	
10/07/2023 00:00	16.905	17.23	16.765	17.215	759114	EUR	
11/07/2023 00:00	17.34	17.365	16.955	16.955	620709	EUR	
12/07/2023 00:00	16.615	16.72	15.86	16.31	3688174	EUR	
13/07/2023 00:00	16.3	16.66	16.08	16.3	1556897	EUR	
14/07/2023 00:00	16.29	16.37	16	16	1260959	EUR	
17/07/2023 00:00	16.05	16.17	15.87	15.92	992700	EUR	
18/07/2023 00:00	15.935	16.075	15.52	15.635	1594586	EUR	
19/07/2023 00:00	15.76	15.93	15.725	15.86	929618	EUR	
20/07/2023 00:00	15.895	16.09	15.775	15.83	1003980	EUR	
21/07/2023 00:00	15.845	16.285	15.82	16.065	1000652	EUR	
24/07/2023 00:00	16	16.105	15.78	15.905	1136189	EUR	
25/07/2023 00:00	15.96	16.055	15.44	15.44	1830618	EUR	
26/07/2023 00:00	15.44	15.7	15.44	15.6	1172328	EUR	
27/07/2023 00:00	15.6	15.885	15.5	15.805	1271522	EUR	
28/07/2023 00:00	15.6	15.785	14.865	15.5	3952233	EUR	
31/07/2023 00:00	15.6	15.86	15.485	15.705	1506572	EUR	
01/08/2023 00:00	15.8	15.815	15.23	15.315	1784947	EUR	
